	ES_1	ES_2	ES_3	RF_1	RF_2	RF_3	dmd1	dmd2	dmd3
ENSG00000223972	0	0	0	0	0	0	0	0	0
ENSG00000227232	0	0	0	0	1	0	0	0	0
ENSG00000278267	2	2	2	6	2	2	1	0	0
ENSG00000243485	0	0	0	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0
ENSG00000238009	2	4	2	8	4	5	1	7	6
ENSG00000239945	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	0	0	0	0
ENSG00000268903	3	2	5	5	3	2	0	0	3
ENSG00000269981	2	4	3	4	3	4	3	4	1
ENSG00000239906	0	0	0	0	0	0	0	0	0
ENSG00000241860	1	5	1	10	8	6	7	4	5
ENSG00000222623	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	0	0	0	0	0	0	0	0
ENSG00000279457	7	14	11	21	17	13	11	9	15
ENSG00000273874	0	0	0	0	0	0	0	0	0
ENSG00000228463	0	1	0	0	0	1	0	1	1
ENSG00000286448	0	0	0	0	0	0	0	0	0
ENSG00000236679	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0
ENSG00000237094	5	7	9	11	13	14	21	14	11
ENSG00000269732	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0
ENSG00000233653	1	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	0	0
ENSG00000278757	0	0	0	0	0	0	0	0	0
ENSG00000230021	2	1	2	4	3	3	4	3	1
ENSG00000235146	0	0	0	0	0	0	0	0	0
ENSG00000225972	53	47	50	32	39	61	50	53	63
ENSG00000225630	8340	8650	10291	5292	5846	6383	9249	8672	8600
ENSG00000237973	551	561	563	299	409	480	561	576	559
ENSG00000278791	0	0	0	0	0	0	0	0	0
ENSG00000229344	21	22	29	20	22	26	27	39	20
ENSG00000240409	0	1	2	0	1	0	0	0	0
ENSG00000248527	45099	46646	55036	36725	40854	40518	49311	46917	50178
ENSG00000198744	19	18	26	5	8	6	13	17	20
ENSG00000268663	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	0	0	0	0
ENSG00000228327	13	16	9	13	22	13	15	8	20
ENSG00000223181	0	0	0	0	0	0	0	1	0
ENSG00000229905	0	0	0	0	0	0	0	0	0
ENSG00000237491	16	21	23	30	21	26	20	20	18
ENSG00000285268	0	0	0	0	0	0	0	0	0
ENSG00000230092	3	1	3	5	3	4	2	2	5
ENSG00000177757	0	0	0	0	0	0	0	0	1
ENSG00000228794	2306	2304	2532	2734	2539	2204	2617	2405	2483
ENSG00000225880	6	2	6	5	12	5	4	6	8
ENSG00000288531	16	12	7	7	11	2	3	8	5
ENSG00000230368	2	0	0	1	0	2	3	0	0
ENSG00000234711	0	1	1	1	0	0	1	0	0
ENSG00000283040	0	0	0	0	0	0	0	0	0
ENSG00000272438	0	0	0	2	0	0	0	0	0
ENSG00000230699	1	0	0	4	1	3	1	1	0
ENSG00000241180	0	0	0	0	0	0	0	0	0
ENSG00000223764	2	2	1	9	8	13	0	1	2
