	control1	control2	control3	dmd1	dmd2	dmd3
ENSG00000223972	0	0	0	0	0	0
ENSG00000227232	2	0	0	0	0	0
ENSG00000278267	0	0	0	0	0	0
ENSG00000243485	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0
ENSG00000238009	0	0	0	0	0	0
ENSG00000239945	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	0
ENSG00000268903	2	0	0	0	2	1
ENSG00000269981	0	0	0	0	0	0
ENSG00000239906	0	0	0	0	0	0
ENSG00000241860	0	0	0	0	0	0
ENSG00000222623	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0
ENSG00000279928	0	0	0	0	0	0
ENSG00000279457	0	3	0	0	0	0
ENSG00000273874	0	0	0	0	0	0
ENSG00000228463	2	0	0	3	0	0
ENSG00000286448	0	0	0	0	0	0
ENSG00000236679	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0
ENSG00000237094	0	0	0	0	0	2
ENSG00000269732	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0
ENSG00000278757	0	0	0	0	0	0
ENSG00000230021	0	0	0	0	1	0
ENSG00000235146	0	0	0	0	0	0
ENSG00000225972	22	12	25	28	75	42
ENSG00000225630	82	110	73	123	204	131
ENSG00000237973	14	11	22	53	57	80
ENSG00000278791	0	0	0	0	0	0
ENSG00000229344	23	12	30	18	44	37
ENSG00000240409	10	1	3	7	29	11
ENSG00000248527	783	496	758	892	1602	1149
ENSG00000198744	1	1	7	3	6	5
ENSG00000268663	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	0
ENSG00000228327	0	0	0	0	0	6
ENSG00000223181	0	7	0	0	0	0
ENSG00000229905	0	0	0	0	0	0
ENSG00000237491	0	8	1	1	0	0
ENSG00000285268	0	0	0	0	0	0
ENSG00000230092	107	44	130	82	98	57
ENSG00000177757	0	0	0	0	0	0
ENSG00000228794	301	206	176	99	173	127
ENSG00000225880	21	4	2	4	19	10
ENSG00000288531	6	0	12	8	5	0
ENSG00000230368	1	12	9	7	23	10
ENSG00000234711	0	0	0	0	0	0
ENSG00000283040	0	0	0	0	0	0
ENSG00000272438	4	6	2	0	1	0
ENSG00000230699	11	2	0	17	12	24
ENSG00000241180	0	0	0	0	0	0
ENSG00000223764	10	24	13	0	18	19
ENSG00000187634	877	490	1114	839	1282	905
ENSG00000188976	1174	990	1270	880	766	940
ENSG00000187961	278	179	204	91	205	137
ENSG00000187583	103	17	41	17	52	14
ENSG00000187642	4	3	4	0	0	1
ENSG00000272512	235	102	77	25	26	5
ENSG00000188290	731	683	772	304	417	393
ENSG00000187608	35	27	27	65	143	72
ENSG00000231702	1	0	0	0	1	0
